Risque;Causes;Libellé plan d'action;Porteur;Email porteur;Date début;Date fin;Commentaires ;Statut;CONTRÔLE DESCRIPTION;Type de contrôle;Méthode de contrôle;Proba;Gravité;Finance;RH;Image;Juridique;Commercial ;Criticité;Maturité;
Risque de fraude;présentation de terminaux volés par les clients pour bénéficier du swap;;;;;;;;L'offre n'intégre pas la récupération de terminal du client et c'est la subvention qui est accordée;préventif;manuelle;1;2;1;;3;1;1;2;3;
Risque de manque de performance économique des offres/projets;supériorité de nos charges vs la subvention accordée aux clients;;;;;;;;"Le terminal vendu est simlocké orange

Envoi de push pour inciter les clients à consommer data des clients pour compenser la subvention";préventif;manuelle;4;1;1;;;;;4;1;
Risque de non tracabilité des opérations;IMEI terminaux non renseignés ;;;;;;;;Enregistrement dans Nessico des IMEI des terminaux livrées aux clients;préventif;manuelle;2;1;;;1;;;2;2;
Risque de non respect des engagements commerciaux;Longues fils d'attente en agence;;;;;;;;"Limitation du nombre de clients cible à 10 000 à Dakar & régions.
Activation terrain avec DAVT pour éviter la congestion en agence commerciale.
Déploiement de tentes devant les agences commerciales pour décongestionner les agences commerciales.";préventif;manuelle;2;1;1;;1;;2;2;2;
Risque de non respect des engagements commerciaux;Discrimination dans la répartition des 10 000 terminaux disponibles entre les agences ;;;;;;;;Répartition des terminaux basée sur le prorata du potentiel selon la localisation des clients ciblés;préventif;manuelle;1;1;1;;1;;2;1;3;
Risque de non respect des engagements commerciaux;Fin du stock au moment de la présentation du client à l'agence;;;;;;;;Le marketing précise sur les supports de communication que l'offre n'est valable dans la limite du stock disponible;préventif;manuelle;1;1;1;;1;;2;1;3;
Risque de fraude;facturation des terminaux à tarifs plus elévés que ceux definis dans l'offre;;;;;;;;Les prix des terminaux seront affichés au niveau des boutiques pour informer les clients des prix de ventes conseillés ;préventif;manuelle;2;2;1;;3;1;1;4;2;
Risque de fraude;rétention des terminaux par des boutiques pour revente après la campagne;Mettre en place un suivi et une analyse journalière des ventes de terminaux et des activations pour éviter la rétention des terminaux par les boutiques;Fatou Toute Ndao;;;30/12/2018;;Non échu;;;;1;2;1;;3;1;1;2;3;
Risque de fraude;Difficulté de contrôler les ventes terrains avec les retards d'enregistrement;Rédiger une EBM à l'endroit de DSI pour assurer l'enregistrement des ventes terrain à chaud dans les SI;Fatou Toute Ndao;;;30/12/2018;;Soldé;;;;3;2;1;;3;1;1;6;1;
Risque de non respect des engagements commerciaux;Retard de positionnement des pass;;;;;;;;Positionnment automatique des pass;préventif;manuelle;1;1;1;;1;;2;1;3;
