Risque (points d'attention);Causes (facteurs à l'origine de ces points d'attention);Libellé PA (ce qui est prévu pour couvrir le risque);Porteur;Mail du porteur;Echeance;Avancement;Commentaires ;Statut;CONTRÔLE DESCRIPTION (réponses ou solutions aux points d'attention identifiés);Type de contrôle;Méhode de contrôle;Proba;Synthèse = gravité;Finance;RH;Image;Juridik;Commercial;Criticité
Risque de fraude;défaut de dialogue plateforme RIA/OM;Réaliser des tests pour s'assurer de la fonctionnalité des interfaces entre les plateformes OM et RIA;Souleymane Ba ;souleye.ba@orange-sonatel.com;30-oct.-17;;process technqiue avec RIA suspendu en attendant la signature du contrat;non échu;mise en place d'un VPN pour que Sonatel teste le scénario dépôt direct;Préventif;Manuelle;3;2;2;;2;;;
Risque de fraude;Défaut de sécurité dans le dialogue des plateformes;Verrouiller et tester le crypatge des données et la sécurité dans leurs transferts;Souleymane Ba ;souleye.ba@orange-sonatel.com;30-nov.-17;;process technqiue avec RIA suspendu en attendant la signature du contrat;En cours;;;;2;2;2;;2;;;
Risque de lancement de projet non fonctionnel;Défaut de fiabilité des informations sur les clients dans les plateformes OM;Réaliser des tests sur la fiabilité des informations sur les clients dans la base OM.;Souleymane Ba ;souleye.ba@orange-sonatel.com;30-nov.-17;;process technqiue avec RIA suspendu en attendant la signature du contrat;non échu;;;;2;2;3;;2;;2;
Risque de manque de performance économique des offres/projets;investissements lourds (charges développement technique supporté par sonatel, gratuité sous wallet VS rémunération des distributeurs, etc);Finaliser le schéma technique pour statuer sur les charges dans le BP;Souleymane Ba ;souleye.ba@orange-sonatel.com;25-mai-17;;;soldé;;;;2;1;1;;;;;
Risque de non tracabilité des opérations;Impossibilité de traçer les transactions des users (y compris les admins);Réaliser des tests pour s'assurer de la tracabilité et l'exploitation des logs y compris les administrateurs;Souleymane Ba ;souleye.ba@orange-sonatel.com;30-oct.-17;;process technqiue avec RIA suspendu en attendant la signature du contrat;En cours;;;;1;3;;;3;;2;
Risque de fraude;absence de contrôle sur les sous-comptes - visibilité des transactions;"Effectuer le jumelage des contrôles effectués par OM et RIA et définition des données et fréquences de report

Identifier la base à interroger en s'assurant que toutes les informations sont bien comprises et sont fiables dans la base et le mode de récupération des données";Souleymane Ba ;souleye.ba@orange-sonatel.com;30-oct.-17;;process technqiue avec RIA suspendu en attendant la signature du contrat;non échu;contrôle par sonatel avant acceptation du transfert ou dépôt sur le compte OM;Préventif;Manuelle;2;2;2;;2;;;
Risque de lancement de projet non fonctionnel;Absence de validation des paramètres web et des workflows;Faire un debriefing sur l’EBM avec une validation des paramètres Web services et des work Flow avec Ria;Souleymane Ba ;souleye.ba@orange-sonatel.com;19-mai-17;;process technqiue avec RIA suspendu en attendant la signature du contrat;soldé;;;;2;2;3;;2;;2;
Risque de non respect des dispositions juridiques et règlementaires;défaut de réconciliation des données d'identification du client dans le sécnario transfert avec code;Identifier la base à interroger en s'assurant que toutes les informations sont bien comprises et sont fiables dans la base et le mode de récupération des données;Souleymane Ba ;souleye.ba@orange-sonatel.com;30-août-17;;process technqiue avec RIA suspendu en attendant la signature du contrat;non échu;;;;2;2;;;2;1;;
Risque de non respect des engagements commerciaux;transaction non aboutie - pourcentage de vérification des correspondances élevé;;;souleye.ba@orange-sonatel.com;;;;;;;;3;3;1;;2;;3;
Risque de manque de performance économique des offres/projets;taux de rémunération de 27% proposé par RIA non rentable parce que ne couvre pas le taux d'incentive des distributeurs actuels sur le réseau de distribution;Procéder à une nouvelle mise à jour du BP avec une contre proposition du taux de rémunération;Souleymane Ba ;souleye.ba@orange-sonatel.com;16/08/17;;;soldé;"taux de rémunération figé à 27%
BP positif dans les deux scénarii";Préventif;AutoMmatique;3;1;1;;;;;
