CHANTIER;SUJET;CAUSE;IMPACT;Activité;Risque;Causes;Libellé Plan d'action;Porteur;Mail du porteur;Échéance;Avancement;Commentaires;Statut;CONTRÔLE DESCRIPTION;Type de contrôle;Méthode de contrôle;Proba;Gravité;financier;RH;Image;Juridique;Client
;;;;;risque de non respect des engagements commerciaux;pass data non bloqué après épuisement;Vérifier avec le chantier ITN que le pass data pourra être bloqué à l'épuisement. Sinon envoyer des notifications au client à l'approche de l'épuisement du forfait et quand ce dernier est totalement épuisé;Abdoul Karim Diallo;AbdoulKarim.Diallo@orange-sonatel.com;29/04/2016;;;soldé;"Envoi de deux notifications au client: à 75% et à la fin du crédit 
Retour sur le menu USSD #166# pour recharger un pass ou souscrire à la tarification à l'acte";Préventif;Manuelle;1;2;1;;2;;2
;;;;;risque de non respect des engagements commerciaux;cherté des tarifs dûe à une augmentation unilatérale des tarifs par les autres opérateurs;;Abdoul Karim Diallo;AbdoulKarim.Diallo@orange-sonatel.com;;;;;Signature de contrats avec les opérateurs valables en moyenne deux ans. Pendant cette période les tarifs ne changent pas. Et renégociation à la baisse à la fin de la période contractuelle;Préventif;Manuelle;1;2;1;;2;;2
;;;;;risque de non fiabilité de la facturation;échec de la comptabilisation des pass rechargés à la fin du mois;Vérifier avec la technique (Fatou Camara) que la chaine de transmission et de comptabilisation des pass est fiable. Dérouler des tests pour s'assurer du bon fonctionnement;Abdoul Karim Diallo;AbdoulKarim.Diallo@orange-sonatel.com;30/06/2017;;;Non échu;;Préventif;;1;2;1;;3;;3
;;;;;risque de manque de performance économique des offres/projets;tentatives de connexion non abouties des clients facturés à Sonatel par les opérateurs et non répercutées aux clients;S'assurer de la réussite des tests suite déploiement de l'anti roaming linkage au niveau de sonatel;Abdoul Karim Diallo;AbdoulKarim.Diallo@orange-sonatel.com;29/04/2016;;;soldé;"déploiement réussi de l'anti roaming linkage
Tests satisfaisants à 100%";Préventif;;2;1;1;;;;
;;;;;risque de non respect des engagements commerciaux;Pass décrémenté en local;;Abdoul Karim Diallo;AbdoulKarim.Diallo@orange-sonatel.com;;;;;tests ok sur l'imposibilté que le pass roaming soit décrémenté en local. Il n'est actif qu'en situation de roaming;Préventif;Manuelle;1;2;1;;2;;2
;;;;;risque de non respect des engagements commerciaux;perte en cas de cumul de pass;"Revoir avec le marketing la raison pour laquelle on ne donne pas la possibilité aux clients de cumuler des pass alors que pour la data c'est possible.
Revoir l'opportunité de réintégrer dans l'offre le cumul de pass

Conduire les tests et s'assurer que le deuxième pass chargé n'écrase pas le premier qui était là";Abdoul Karim Diallo;AbdoulKarim.Diallo@orange-sonatel.com;31/10/2016;;;annulé;impossibilité de cumuler des pass;Préventif;Manuelle;1;2;1;;2;;2
;;;;;risque de non fiabilité de la facturation;non facturation du pass par le client à la souscription;;Abdoul Karim Diallo;AbdoulKarim.Diallo@orange-sonatel.com;;;;;facturation en fin de mois;Préventif;;1;2;1;;3;;3
;;;;;risque de non recouvrement des créances;non recouvrement des pass achetés par les clients;;Abdoul Karim Diallo;AbdoulKarim.Diallo@orange-sonatel.com;;;;;même processus de recouvrement que ceux existants à DDE et DV;Préventif;;1;1;1;;;;
;;;;;risque de non respect des engagements commerciaux;non activation du pass en situation de roaming;Dérouler les tests ITN sur le bon fonctionnement des pass en roaming;Abdoul Karim Diallo;AbdoulKarim.Diallo@orange-sonatel.com;30/06/2017;;;Non échu;;Préventif;Manuelle;1;2;1;;2;;2
;;;;;risque de non respect des engagements commerciaux;facturation à l'acte au lieu de la facturation préférentielle;Dérouler les tests ITN sur la facturation des pass avec les tarifs préférentiels;Abdoul Karim Diallo;AbdoulKarim.Diallo@orange-sonatel.com;30/06/2017;;;Non échu;;Préventif;Manuelle;1;2;1;;2;;2
